,name,payment_modes,locality
0,K K Family Restaurant,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
1,Hotel Bade Miya Chhote Miya,"Cash and Cards accepted
Digital payments accepted","Pimpri, Pune"
2,Paratha Experiment,,"Hinjawadi, Pune"
3,Biryani King,,"Yerawada, Pune"
4,Geets Cakes,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
5,Samarth Wade Wale,"Cash and Cards accepted
Digital payments accepted","Wakad, Pune"
6,The Urban Kadhai,,"Wadgaon Sheri, Pune"
7,Madhuram,,"Hadapsar, Pune"
8,Cafe Pizza Bites,"
Digital payments accepted","Katraj, Pune"
9,Behrouz Biryani,,"Viman Nagar, Pune"
10,Captain Gravy & Juicewale LLP,,"Pune University, Pune"
11,Hungry Foodies,"
Digital payments accepted","Pimpri, Pune"
12,Vishnu Bhel Center,,"Karve Nagar, Pune"
13,Olive Garden Restaurant And Bar,"Cash and Cards accepted
Digital payments accepted","Bhosari, Pune"
14,Dragon Fire,"
Digital payments accepted","Wadgaon Sheri, Pune"
15,Bikkgane Biryani,,"Hinjawadi, Pune"
16,Cheesiano Pizza,"Cash and Cards accepted
Digital payments accepted","Pimple Saudagar, Pune"
17,Veg Momo Point,,"Viman Nagar, Pune"
18,Eateria - The Foodie's Place,,"Pimple Saudagar, Pune"
19,Sharvaree Restaurant,Cash and Cards accepted,"Parichay Hotel, FC Road, Pune"
20,Veg Tables,"
Digital payments accepted","NIBM Road, Pune"
21,The Cupcake Story ,,"Wadgaon Sheri, Pune"
22,Daiwong,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
23,Cafe Chokolade,,"Hadapsar, Pune"
24,Ideal Restaurant,,"Akurdi, Pune"
25,1000 Oaks,Cash and Cards accepted,"East Street, Pune"
26,Annapurna Rasoi,"Cash and Cards accepted
Digital payments accepted","Rasta Peth, Pune"
27,Cakes 4 U FNP Cakes N More,,"NIBM Road, Pune"
28,Momo Monk,,"Wagholi, Pune"
29,Jai Ganesh Choupati,"
Digital payments accepted","Pimple Nilakh, Pune"
30,Barista,Cash and Cards accepted,"City Hub @ WTC, Kharadi, Pune"
31,Hotel Arogyam's,,"Mundhwa, Pune"
32,Maratha Samrat,Cash and Cards accepted,"Baner, Pune"
33,The Creamy Land,"
Digital payments accepted","Aundh, Pune"
34,Kouzina Kafe - The Food Court,,"Wakad, Pune"
35,Mad Momos,,"Pimple Saudagar, Pune"
36,The Brooklyn Creamery - Healthy Ice Cream,,"Shivaji Nagar, Pune"
37,Biryanibad,"
Digital payments accepted","Katraj, Pune"
38,Cakes N Cakes,,"Chandan Nagar, Pune"
39,Ya Basa-The Dhaba,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
40,Lali's Kitchen Food With Love,"
Digital payments accepted","Kharadi, Pune"
41,Itss Yummyy,"Cash and Cards accepted
Digital payments accepted","Erandwane, Pune"
42,Bowls Of India,,"Baner, Pune"
43,Burreatoss,,"Koregaon Park, Pune"
44,Shree Swami Samartha Tea And Coffee Center,,"Sus, Pune"
45,Khaolite,"Cash and Cards accepted
Digital payments accepted","Wadgaon Sheri, Pune"
46,The Pho Truck,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
47,Big Loaf Sandwich,,"Karve Nagar, Pune"
48,WS Bakers,"Cash and Cards accepted
Digital payments accepted","Rasta Peth, Pune"
49,The Black Plate,"Cash and Cards accepted
Digital payments accepted","Sinhgad Road, Pune"
50,Hotel Surya Biryani House,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
51,Zion Shawarma,,"Pimple Gurav, Pune"
52,Bengolis Kitchen,,"Lohegaon, Pune"
53,Ashu Home Food,,"Wakad, Pune"
54,Kolhapuri Zanzanit Pahunchar,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
55,Spice Roots,"Cash and Cards accepted
Digital payments accepted","Bavdhan, Pune"
56,The Biryani Life,,"Kharadi, Pune"
57,Mayuri Enterprises,"
Digital payments accepted","Hinjawadi, Pune"
58,Al Nayaab,"
Digital payments accepted","Camp Area, Pune"
59,Tandoori Singh,,"Rasta Peth, Pune"
60,Yollops,"Cash and Cards accepted
Digital payments accepted","Kothrud, Pune"
61,Merwans Cake Stop ,"
Digital payments accepted","Balewadi, Pune"
62,Zara Family Restaurant,,"Hadapsar, Pune"
63,Upvas Ghar,,"Hadapsar, Pune"
64,Al-Hifazat Kabab's & Caterers,"Cash and Cards accepted
Digital payments accepted","Yerawada, Pune"
65,Biggies Burger,,"Wakad, Pune"
66,Kurry Masala,,"Pimpri, Pune"
67,Daily Bakes By Nine Square,"
Digital payments accepted","Yerawada, Pune"
68,Kokan Katta Restaurant,"Cash and Cards accepted
Digital payments accepted","Sadashiv Peth, Pune"
69,Agile Hyderabadi Dum Biryani,,"Hadapsar, Pune"
70,Salad Grills,,"Kalyani Nagar, Pune"
71,Hotel Jai Bhavani,"Cash and Cards accepted
Digital payments accepted","Wagholi, Pune"
72,Hotel New Pune Residency,"Cash and Cards accepted
Digital payments accepted","Chinchwad, Pune"
73,Shree Ganpati Bhuvan,,"Shivaji Nagar, Pune"
74,Domino's Pizza,"Cash, Cards and Meal Coupons accepted
Digital payments accepted","Pimple Gurav, Pune"
75,Surve's Pure Non-Veg,"Cash and Cards accepted
Digital payments accepted","Viman Nagar, Pune"
76,Fish Curry Rice,Cash and Cards accepted,"Kothrud, Pune"
77,La Cherie,,"Parvati, Pune"
78,Faasos,,"Kharadi, Pune"
79,Vedant Pavbhaji,,"Hadapsar, Pune"
80,Momo's Wala Cafe,"
Digital payments accepted","Akurdi, Pune"
81,Hotel Real Taste,"
Digital payments accepted","Kondhwa, Pune"
82,King's Resto Bar,Cash and Cards accepted,"East Street, Pune"
83,Balaji Bhel And Farsan,"Cash and Cards accepted
Digital payments accepted","Karve Nagar, Pune"
84,Radhesai Thalipeeth House,"
Digital payments accepted","Akurdi, Pune"
85,Dexter’s Shakes And Salads,,"Bavdhan, Pune"
86,Burger N More,,"Phursungi, Pune"
87,Sai Kok-Pa Chinese,Cash and Cards accepted,"Kothrud, Pune"
88,Tandoor Point,,"Expressway, Pune"
89,Navratri Meals By LunchBox,,"Kharadi, Pune"
90,Khandeshi Darbar,"Cash and Cards accepted
Digital payments accepted","Baner, Pune"
91,Royal Chinese,,"Kondhwa, Pune"
92,Iyengars Veedu,,"Pimple Gurav, Pune"
93,Pizza Zaika Cafe,"
Digital payments accepted","Hadapsar, Pune"
94,Hotel Kokanratna Sea Food Family Resto,"Cash and Cards accepted
Digital payments accepted","Satara Road, Pune"
95,Vishwa Food And Coffee House,"
Digital payments accepted","Hadapsar, Pune"
96,Hotel Al Zaika,"Cash, Cards and Meal Coupons accepted","Viman Nagar, Pune"
97,Shegaon Kachori,,"Bhosari, Pune"
98,Bhoga,,"Kondhwa, Pune"
99,Domino's Pizza,Cash and Cards accepted,"Hotel Kalasagar, Pimpri, Pune"
100,Café De Conta,"
Digital payments accepted","NIBM Road, Pune"
101,Apsara Ice Creams,,"Bavdhan, Pune"
102,Opyum,"
Digital payments accepted","Bavdhan, Pune"
