restId,name,cuisine,aggregate_rating,rating_votes,dining_rating,dining_review_count,delivery_rating,delivery_review_count,timing,people_say,top_dishes,address,location_longitude,location_latitude,url,cost_for_two
19575264,Goldy Da Dhaba,"North Indian, Mughlai, Biryani",3.2,61,,0,3.2,61,11am – 11pm (Today),,,"Shop 3, Kalamkar Corner, Sr. 75, Hissa 1/A, Baner, Pune",73.7841488421,18.5618455116,https://www.zomato.com/pune/goldy-da-dhaba-baner,₹200 for one order (approx.)
18902017,The Good Bowl,"North Indian, Asian, Biryani, Pasta",3.9,2227,,0,3.9,2227,"12midnight – 2am, 10am – 12midnight (Today)",,,"Shop 19 & 20, A2 Building, Near DSK Ranwara, Bavdhan, Pune",73.7776880711,18.5203200532,https://www.zomato.com/pune/the-good-bowl-bavdhan,₹200 for one order (approx.)
20019032,Punjabi By Nature,"North Indian, Mughlai, Kebab, Biryani, Street Food, Desserts",0,41,,,,,11am – 11:30pm (Today),,,"Ground First Floor, Nine Hills Plaza, G Building, Plot A, S 43/44, Hissa 1 to 9+11(p), Mohammadwadi, Pune",73.9089712,18.4760613,https://www.zomato.com/pune/punjabi-by-nature-nibm-road,"₹1,200 for two people (approx.)"
6506021,The Cake & Cream Factory,Bakery,3.4,73,3.4,73,3.8,414,9:30am – 11:30pm (Today),,,"Shop 6, CTS 148, Niyoshi Park, Aundh, Pune",73.8105840236,18.5608030087,https://www.zomato.com/pune/the-cake-cream-factory-1-aundh,₹200 for two people (approx.)
19991066,The Shawarma,Lebanese,3.9,95,,0,3.9,95,11am – 11pm (Today),,,"Shop 5/6, Plot 17, Survey 148/150/151, Disha Apartment, Aundh, Pune",73.8113189489,18.56065585,https://www.zomato.com/pune/the-shawarma-aundh,₹150 for one order (approx.)
18984006,Hotel Jai Malhar,"North Indian, Seafood",3.5,8,3.5,8,4.1,208,"12noon – 3:30pm, 7pm – 11:30pm (Today)","Value for Money, Good Quality, Packaging, Taste",,"Masurgarh Colony, Near Bank Of Maharashtra, Ajmera Road, Pimpri, Pune",73.8030315936,18.6313997325,https://www.zomato.com/pune/hotel-jai-malhar-pimpri,₹600 for two people (approx.)
20098915,Panjabi Rasoi,Fast Food,0,0,,,,,11am – 11pm (Today),,,"24, Food Court Serial 12/1, Near Bharat Petrol Pump, Pimple Nilakh, Pune",73.787437,18.577036,https://www.zomato.com/pune/panjabi-rasoi-pimple-nilakh,₹100 for one order (approx.)
19665530,OMG Burgers!,"Burger, Fast Food, Beverages, Biryani, Shake",3.6,4,3.6,4,4,272,"12midnight – 3am, 12noon – 12midnight (Today)",,,"Shop 9 A, Allied Heights, Opposite Reliance Fresh, Salunkhe Vihar Road, Pune",73.897727,18.481797,https://www.zomato.com/pune/omg-burgers-salunkhe-vihar-road,₹350 for two people (approx.)
19823872,Mummy Ki Roti,Burger,0,3,,0,,3,"11:30am – 3:30pm, 6:30pm – 11pm (Today)",,,"Ajmera Main Road, Panchaganga Building, Ajmera Colony, Pimpri, Pune",73.8173735973,18.6175097993,https://www.zomato.com/pune/mummy-ki-roti-pimpri,₹150 for one order (approx.)
19078049,Royal Cake And More,"Bakery, Desserts, Fast Food, Beverages",3.2,495,,0,3.2,495,,"Affordable Prices, Contactless Delivery, Spill Proof Packaging, Best Food under Best Budget, Extensive Menu, Timely Service","Choco Chip Pastry, Cheesecake, Chocolate, Fries, Cakes","Survey 49/2/1A/1B, Lane 5, Kondhwa Road, Kondhwa, Pune",73.8766179979,18.4484042693,https://www.zomato.com/pune/royal-cake-and-more-kondhwa,₹100 for one order (approx.)
6507122,Sri Murlidhar Veg Thali,"Gujarati, Maharashtrian",4.2,195,4.2,195,4.2,1319,"12noon – 3pm, 7:30pm – 10:30pm (Today)","Reasonable Price, Best Place, Food Quality, Good Place, Service, Ambience",,"219/20, Muralidhar Apartment, Kelkar Road, Narayan Peth, Sadashiv Peth, Pune",73.8456401601,18.5145752773,https://www.zomato.com/pune/sri-murlidhar-veg-thali-sadashiv-peth,₹400 for two people (approx.)
19287033,Hotel Sanika,"Maharashtrian, Street Food",3.3,68,,0,3.3,68,1pm – 1:30am (Today),,,"Laxmi Complex, Near Nikhil Dairy, GH Raisoni College Road, Wagholi, Pune",73.9828012884,18.5765917948,https://www.zomato.com/pune/hotel-sanika-wagholi,₹100 for one order (approx.)
